2024/12/07 20:49:05.669, Quadro RTX 6000, 455 MiB, 24576 MiB, 36
2024/12/07 20:49:15.719, Quadro RTX 6000, 2996 MiB, 24576 MiB, 38
2024/12/07 20:49:25.798, Quadro RTX 6000, 2977 MiB, 24576 MiB, 39
2024/12/07 20:49:35.888, Quadro RTX 6000, 2969 MiB, 24576 MiB, 39
2024/12/07 21:00:20.878, Quadro RTX 6000, 467 MiB, 24576 MiB, 38
2024/12/07 21:00:30.957, Quadro RTX 6000, 2989 MiB, 24576 MiB, 39
2024/12/07 21:00:41.048, Quadro RTX 6000, 2973 MiB, 24576 MiB, 40
2024/12/07 21:00:51.109, Quadro RTX 6000, 2985 MiB, 24576 MiB, 40
2024/12/07 21:01:01.158, Quadro RTX 6000, 2975 MiB, 24576 MiB, 39
2024/12/07 21:01:11.208, Quadro RTX 6000, 2997 MiB, 24576 MiB, 39
2024/12/07 21:01:21.228, Quadro RTX 6000, 2972 MiB, 24576 MiB, 39
2024/12/07 21:01:31.307, Quadro RTX 6000, 2969 MiB, 24576 MiB, 39
2024/12/07 21:01:41.326, Quadro RTX 6000, 3007 MiB, 24576 MiB, 39
2024/12/07 21:01:51.344, Quadro RTX 6000, 3017 MiB, 24576 MiB, 39
2024/12/07 21:02:01.400, Quadro RTX 6000, 3000 MiB, 24576 MiB, 39
2024/12/07 21:02:11.449, Quadro RTX 6000, 3011 MiB, 24576 MiB, 39
2024/12/07 21:02:21.527, Quadro RTX 6000, 2965 MiB, 24576 MiB, 39
2024/12/07 21:02:31.578, Quadro RTX 6000, 2965 MiB, 24576 MiB, 39
2024/12/07 21:02:41.598, Quadro RTX 6000, 2965 MiB, 24576 MiB, 39
2024/12/07 21:02:51.618, Quadro RTX 6000, 2965 MiB, 24576 MiB, 39
2024/12/07 21:03:01.668, Quadro RTX 6000, 3008 MiB, 24576 MiB, 39
2024/12/07 21:03:11.719, Quadro RTX 6000, 2977 MiB, 24576 MiB, 38
2024/12/07 21:03:21.797, Quadro RTX 6000, 2977 MiB, 24576 MiB, 38
2024/12/07 21:03:31.818, Quadro RTX 6000, 2977 MiB, 24576 MiB, 38
2024/12/07 21:03:41.859, Quadro RTX 6000, 2977 MiB, 24576 MiB, 38
2024/12/07 21:03:51.918, Quadro RTX 6000, 2977 MiB, 24576 MiB, 38
2024/12/07 21:04:01.968, Quadro RTX 6000, 2977 MiB, 24576 MiB, 38
2024/12/07 21:04:11.986, Quadro RTX 6000, 2977 MiB, 24576 MiB, 38
2024/12/07 21:04:22.039, Quadro RTX 6000, 3006 MiB, 24576 MiB, 38
